note_category,table_name,column_or_check,description,blocks_full_run,recommended_action
structural_missingness,race_control,driver_number,"Often null because many race-control messages are session-wide (safety car, track limits, session status) and are not tied to a single driver.",no,Do not impute in Silver. Gold aggregates message counts at session level; driver-specific messages remain optional.
structural_missingness,race_control,sector,Frequently null when the message is not sector-specific (e.g. session-level flags or global announcements).,no,Report missingness; no Silver row removal.
structural_missingness,race_control,flag,"Null for message categories that do not include a flag field (timing, session status, or non-flag events).",no,Use flag-derived counts in Gold with null-safe aggregation; do not impute.
structural_missingness,race_control,qualifying_phase,100% null in this data pull. Expected to be entirely null for race/session types where OpenF1 does not populate qualifying metadata; column is retained in Silver to keep the schema stable but carries no signal.,no,Gold feature engineering ignores qualifying_phase (race_control features use message and flag only). Filter or segment reports by session_type if you ever consume this column manually.
duplicate_diagnostic,race_control,"(session_key,date,message)","Diagnostic dedup check flags ~16 rows / 8 key groups (~0.22%) under the natural key (session_key, date, message). These are NOT removed at Silver — race-control events can legitimately repeat at the same timestamp (e.g. the same broadcast reissued per driver or per sector).",no,"Retain in Silver; handle with count-aware aggregation in Gold (race_control_message_count and friends already count rows, not unique keys)."
structural_missingness,pit,stop_duration,OpenF1 pit payloads in practice expose pit_duration and lane_duration; stop_duration is commonly absent (100% null in smoke).,no,Use pit_duration / lane_duration for features; do not impute stop_duration.
structural_missingness,session_result,duration,"Null for DNF, DNS, DSQ, or non-classified finishers who have no valid race time.",no,Keep nulls in Silver; use for diagnostics only. Target points_finish is built in Gold.
structural_missingness,session_result,gap_to_leader,May be null for retired or non-finishing drivers when OpenF1 does not report a gap.,no,Exclude from modeling features; optional diagnostic only.
structural_missingness,laps,"i1_speed,st_speed","Intermediate and speed-trap telemetry are not reported on every lap (circuit layout, session phase, or sensor availability).",no,Aggregate with null-safe means in Gold; do not drop laps or impute speeds in Silver.
temporal_check,weather,weather_outside_session_bounds,"Temporal report may flag weather timestamps outside sessions.date_start/date_end. This is usually non-blocking: OpenF1 weather samples can sit just outside parsed session boundaries, use UTC vs local offsets, or reflect pre/post-session sampling while the session catalog window is narrower.",no,Treat as informational in silver_temporal_anomaly_report.csv; verify Gold weather aggregates still join. Do not reject weather rows solely for this flag.
